Profundidade (metros)	Queda de pressao (psi)
19		3.29931
38		6.59862
57		9.89793
76		13.1972
95		16.4966
114		19.7959
133		23.0952
152		26.3945
171		29.6938
190		32.9931
209		36.2924
228		39.5917
247		42.891
266		43.6139
285		43.8538
304		44.0936
323		44.3334
342		44.5732
361		44.8131
380		45.0529
399		45.2928
418		45.5326
437		45.7725
456		46.0124
475		46.2522
494		46.4921
513		46.732
532		46.9718
551		47.2117
570		47.4515
589		47.6914
608		47.9313
627		48.1711
646		48.411
665		48.6509
684		48.8907
703		49.1306
722		49.3704
741		49.6103
760		49.8502
779		50.09
798		50.3299
817		50.5698
836		50.8096
855		51.0495
874		51.2893
893		51.5292
912		51.7691
931		52.0089
950		52.2488
969		52.4887
988		52.7285
1007		52.9684
1026		53.2082
1045		53.4481
1064		53.688
1083		53.9278
1102		54.1677
1121		54.4076
1140		54.6474
1159		54.8873
1178		55.1271
1197		55.367
1216		55.6069
1235		55.8467
1254		56.0866
1273		56.3264
1292		56.5663
1311		56.8062
1330		57.046
1349		57.2859
1368		57.5258
1387		57.7656
1406		58.0055
1425		58.2453
1444		58.4852
1463		58.7251
1482		58.9649
1501		59.2048
1520		59.4447
1539		59.6845
1558		59.9244
1577		60.1642
1596		60.4041
1615		60.644
1634		60.8838
1653		61.1237
1672		61.3636
1691		61.6034
1710		61.8433
1729		62.0831
1748		62.323
1767		62.5629
1786		62.8027
1805		63.0426
1824		63.2825
1843		63.5223
1862		63.7622
1881		64.002
1900		64.2419
