Profundidade (metros)	Queda de pressao (psi)
43.5		7.55866
87		15.1173
130.5		22.676
174		30.2346
217.5		37.7933
261		43.5798
304.5		44.1307
348		44.6815
391.5		45.2323
435		45.7831
478.5		46.334
522		46.8848
565.5		47.4356
609		47.9864
652.5		48.5372
696		49.0881
739.5		49.6389
783		50.1897
826.5		50.7405
870		51.2914
913.5		51.8422
957		52.393
1000.5		52.9438
1044		53.4946
1087.5		54.0455
1131		54.5963
1174.5		55.1471
1218		55.6979
1261.5		56.2488
1305		56.7996
1348.5		57.3504
1392		57.9012
1435.5		58.4521
1479		59.0029
1522.5		59.5537
1566		60.1045
1609.5		60.6553
1653		61.2062
1696.5		61.757
1740		62.3078
1783.5		62.8586
1827		63.4095
1870.5		63.9603
1914		64.5111
1957.5		65.0619
2001		65.6127
2044.5		66.1636
2088		66.7144
2131.5		67.2652
2175		67.8168
2218.5		68.3688
2262		68.9209
2305.5		69.473
2349		70.025
2392.5		70.5771
2436		71.1291
2479.5		71.6812
2523		72.2333
2566.5		72.7853
2610		73.3374
2653.5		73.8895
2697		74.4415
2740.5		74.9936
2784		75.5457
2827.5		76.0977
2871		76.6498
2914.5		77.2019
2958		77.7539
3001.5		78.306
3045		78.8581
3088.5		79.4101
3132		79.9622
3175.5		80.5143
3219		81.0663
3262.5		81.6184
3306		82.1705
3349.5		82.7225
3393		83.2746
3436.5		83.8267
3480		84.3787
3523.5		84.9308
3567		85.4829
3610.5		86.0349
3654		86.587
3697.5		87.1391
3741		87.6911
3784.5		88.2432
3828		88.7953
3871.5		89.3473
3915		89.8994
3958.5		90.4515
4002		91.0035
4045.5		91.5556
4089		92.1077
4132.5		92.6597
4176		93.2118
4219.5		93.7639
4263		94.3159
4306.5		94.868
4350		95.4201
